
Subject,Start Date,Start Time,End Date,End Time,Description
Critical Care Series,02/08/2024,12:00 PM,02/08/2024,01:30 PM,Lecturer: Dr. Westerman
TBA - 30 min,02/09/2024,12:00 PM,02/09/2024,01:30 PM,Lecturer: Dr. Westerman
Ambulatory Yale Modules,02/13/2024,12:00 PM,02/13/2024,01:30 PM,Lecturer: Dr. Bartmess
Vaccines,02/16/2024,12:00 PM,02/16/2024,01:30 PM,Lecturer: Dr. Gutierez
TBA - 30 min,02/16/2024,12:00 PM,02/16/2024,01:30 PM,Lecturer: Dr. Westerman
Ambulatory Yale Modules,02/20/2024,12:00 PM,02/20/2024,01:30 PM,Lecturer: Dr. Bartmess
M/M - PGY3 Vyas/Dr.Westerman,02/21/2024,12:00 PM,02/21/2024,01:30 PM,Lecturer: Dr. Vyas/Dr. Westerman
Critical Care Series,02/22/2024,12:00 PM,02/22/2024,01:30 PM,Lecturer: Dr. Westerman
Vasopressors,02/23/2024,12:00 PM,02/23/2024,01:30 PM,Lecturer: Dr. Victoria Simmons
TBA - 30 min,02/23/2024,12:00 PM,02/23/2024,01:30 PM,Lecturer: Dr. Westerman
Ambulatory Yale Modules,02/27/2024,12:00 PM,02/27/2024,01:30 PM,Lecturer: Dr. Bartmess
POCUS - Lung US,02/29/2024,12:00 PM,02/29/2024,01:30 PM,Lecturer: Dr. Gohar
TBA - 30 min,03/01/2024,12:00 PM,03/01/2024,01:30 PM,Lecturer: Dr. Westerman
Journal Club - Pulmonary,03/04/2024,12:00 PM,03/04/2024,01:30 PM,Lecturer: TBD
Ambulatory Yale Modules,03/05/2024,12:00 PM,03/05/2024,01:30 PM,Lecturer: Dr. Bartmess
M/M - PGY3 Richi Kashyap/Dr.Westerman,03/06/2024,12:00 PM,03/06/2024,01:30 PM,Lecturer: Dr. Kashyap/Dr. Westerman
Critical Care Series,03/07/2024,12:00 PM,03/07/2024,01:30 PM,Lecturer: Dr. Westerman
TBA - 30 min,03/08/2024,12:00 PM,03/08/2024,01:30 PM,Lecturer: Dr. Westerman
Ambulatory Yale Modules,03/12/2024,12:00 PM,03/12/2024,01:30 PM,Lecturer: Dr. Bartmess
POCUS - DVT scans,03/14/2024,12:00 PM,03/14/2024,01:30 PM,Lecturer: Dr. Gohar
TBA - 30 min,03/15/2024,12:00 PM,03/15/2024,01:30 PM,Lecturer: Dr. Westerman
Ambulatory Yale Modules,03/19/2024,12:00 PM,03/19/2024,01:30 PM,Lecturer: Dr. Bartmess
Critical Care Series,03/21/2024,12:00 PM,03/21/2024,01:30 PM,Lecturer: Dr. Westerman
TBA - 30 min,03/22/2024,12:00 PM,03/22/2024,01:30 PM,Lecturer: Dr. Westerman
Ambulatory Yale Modules,03/26/2024,12:00 PM,03/26/2024,01:30 PM,Lecturer: Dr. Bartmess
Morning Report-RVF/PH,03/28/2024,12:00 PM,03/28/2024,01:30 PM,Lecturer: Dr. Gohar
TBA - 30 min,03/29/2024,12:00 PM,03/29/2024,01:30 PM,Lecturer: Dr. Westerman
Journal Club - Psychiatry,04/01/2024,12:00 PM,04/01/2024,01:30 PM,Lecturer: TBD
Ambulatory Yale Modules,04/02/2024,12:00 PM,04/02/2024,01:30 PM,Lecturer: Dr. Bartmess
Body Fluids Analysis,04/04/2024,12:00 PM,04/04/2024,01:30 PM,Lecturer: Dr. Gohar
TBA - 30 min,04/05/2024,12:00 PM,04/05/2024,01:30 PM,Lecturer: Dr. Westerman
